"Detalles de la queja, sugerencia o felicitación",Tipo de registro
sugerir conectar ethernet equipo internet monitor,Sugerencia
maquina tarea hora libre dejar programa ningun programa ide practica,Queja
servicio,Felicitación
acudi ventanilla servicio escolar resolver duda acerca proceso reinscripcion persona atendio encontrar revisar celular atendiar mala seguia utilizar celular considerar apropiado conducta siquiera pareciar interesar él comentar,Queja
maquina lento teclado atorar tecla,Sugerencia
mejorar velocidad internet,Felicitación
gracias prestar servicio,Felicitación
simplemente necesitar respuesta durario minuto obviamente horario costar tramite obviamente horario,Queja
momento,Felicitación
atencion atentar,Felicitación
servicio,Felicitación
internet intermitente permitio trabajo,Sugerencia
felicitacion gestion equipo semestre encontrar descuidado maximo privilegio encontrar cosa deshabilitacion cmd felicitar,Felicitación
necesitar mejorar internet,Sugerencia
servicio,Sugerencia
felicitacion,Felicitación
felicidad,Felicitación
cuidado,Felicitación
servicio,Felicitación
servicio,Felicitación
compus,Felicitación
servicio,Felicitación
queja atencion equipo inicio mostrar complicación word funciono correctamente,Felicitación
facilidad,Felicitación
funcion,Felicitación
mousse maquina presentar problema click izquierdo,Sugerencia
amable,Felicitación
marzo aviso biblioteca estario cerrado pm pm abrir querer revisar asunto urgencia saes,Queja
maquina fallar click izquierdo mouse complicar,Sugerencia
excelente,Felicitación
internet posiblemente cable trozado cambiar agarrar internet,Queja
estario linux windows compus,Sugerencia
servicio correctamente unico problema mencionario aplicación adobe internet explorer quedar congelado capaz cerrar él bloqueado administrador tarea,Sugerencia
felicitacion equipo,Felicitación
equipo computo,Felicitación
equipo internet contar programa necesitar,Felicitación
ubuntu,Sugerencia
servicio,Felicitación
felicitacion mantener equipo,Felicitación
felicitación,Felicitación
felicitacion,Felicitación
prestamir lab,Felicitación
gusto computadora periferico mouse fallo ruedita,Sugerencia
felicidad,Felicitación
gracias,Felicitación
servicio,Felicitación
mejorar rendimiento computadora,Felicitación
tramite sencillo atender actitud comprensivo directo totalmente satisfecho ayuda otorgado ayudar otorgar solución situacion,Felicitación
servicio,Felicitación
mayoria horario actividad deportivo,Queja
maquina,Felicitación
felitqcion,Felicitación
maquina conexion internet,Felicitación
coordinacion,Felicitación
felicidad,Felicitación
felicitación,Felicitación
equipo funcional,Felicitación
atendio,Felicitación
atencion,Felicitación
agregar programa,Sugerencia
encuesta equivocado,Felicitación
felicitacion atender,Felicitación
atencion,Felicitación
querer felicitar yadhira gestion escolat aue atender ventanilla amable atento solucionar solicitud excelente actitud enhorabuena desear demas administrativo atender,Felicitación
paciencia atencion increible quedar agradecido maestro efren,Felicitación
gracia,Felicitación
mosso atento,Felicitación
excelente chango,Felicitación
gustariar felicitarlo chango,Felicitación
felicitacion facilitacion proceso eficiencia,Felicitación
servicio rapido atento,Felicitación
deber incorporar materia clase virtual,Sugerencia
felicitacion informacion,Felicitación
trabajo,Felicitación
cortina salón,Sugerencia
cambio salón horrible,Sugerencia
pensar diseno programa,Felicitación
actividad integrar grupo equipo,Felicitación
simplemente felicitacion,Felicitación
distribucion salón semestre confuso,Sugerencia
aire libre,Sugerencia
opcion juntar carrera pasar convivir,Sugerencia
cambio innecesario andar buscar salón edificio mover él piso,Queja
gusto actividad gustar grupo carrera estir combinado,Sugerencia
actividad integrador gusto dinamica,Sugerencia
padre actividad,Felicitación
felicidad actividad movido obligar hablar alguien,Felicitación
instalación cuidado,Felicitación
proceso cabo practico eficiente descripcion taller profesora elso general excelente trabajo asignar jefatura formacion basico,Felicitación
contacto luz edificio ia servir falso contacto,Sugerencia
administracion,Felicitación
mejorar servicio internet salón abajo,Sugerencia
cupo regular,Sugerencia
error masivo inscripcion,Queja
consultoria guiado estudiante participar elección escolar,Sugerencia
felicitacion profesora incentivar herramienta proporcionar institucion,Felicitación
felicitacion profesor mosso problema papeleo cambio carrera ayudo completar procedimiento,Sugerencia
actitud disponibilidad,Felicitación
actitud actitud,Felicitación
problema horario momento reinscripcion,Sugerencia
funcionar wifi palapa ia urge reparar ocupar tarea trabajo dema clase libre adema clase edificio internet escuela computo acceso internet zona trabajar,Queja
servicio,Felicitación
finalacer semestre habiar dispersion fondo,Sugerencia
queja cafeteria ofrecer producto alimento optir comida costoso gustario armar escuela comedor comunitario nombre comida precio accesible unicamente estudiante descuento estudiante,Queja
sentir seriar idea dejar inscribir materia semestre dexir cursar materia dejar to dejar meter vo semestre materia semestre,Sugerencia
companero quedar grupo promedio acabar rapido lugar manana companero posibilidad trabajo reinscribir aparecer profesor asignar momento horario,Sugerencia
dispersion apoyo extraordinario terminal ciclo escolar,Sugerencia
especificamente edificio ia red internet deficiente necesidad,Queja
servicio internet intermitente constante ocasión funcionar deberio,Sugerencia
pedi constancia estudio inscripcion dejar bajarla saes,Sugerencia
facilitar informacion cubiculo asignado profesor pertenecer cubiculo,Sugerencia
deberiar verificar sistema cita problema reinscripcion perdi caber materia,Sugerencia
parecer inter encuesta profesor ensenar plano ensenar pese multipl encuesta escuela seguir asignandol grupo,Queja
rapir proceso amable persona atendio ayudo teniar tiempo entregar fua,Felicitación
atender gestion escolar portar grosero incompetente tomar prioridad superioridad,Queja
deber grupo opción ia lcd,Queja
gustariar sugerir poli contratado internet costar servir él comunidad manea eficiente observar practica distribuir él uniforme modems conectarno evitar saturacion mejorar calidad hora pico ideal seriar salon wifi dependeria presupuesto realmente problema necesitar conectado gestionar petición cobertura fallo salón ia er piso sentir cambiar sistema unam resolver,Sugerencia
